 : 5
AAAA : 5
abc365 : 0
as01 : 1
ccjh901001 : 11
ccjh901002 : 3
ccjh901003 : 5
ccjh901004 : 5
ccjh901005 : 2
ccjh901007 : 4
ccjh901008 : 1
ccjh901009 : 7
ccjh901011 : 0
ccjh901012 : 1
ccjh901013 : 2
ccjh901025 : 2
ccjh901027 : 3
ccjh901028 : 2
ccjh901029 : 2
ccjh901030 : 9
ccjh901031 : 5
ccjh901032 : 7
ccjh901033 : 1
ccjh901035 : 4
ccjh901036 : 2
ccjh901037 : 6
ccjh901038 : 1
ccjh902001 : 2
ccjh902002 : 6
ccjh902003 : 4
ccjh902004 : 3
ccjh902005 : 2
ccjh902006 : 4
ccjh902007 : 5
ccjh902008 : 4
ccjh902009 : 4
ccjh902010 : 3
ccjh902011 : 4
ccjh902012 : 3
ccjh902013 : 3
ccjh902015 : 5
ccjh902025 : 1
ccjh902026 : 2
ccjh902027 : 6
ccjh902028 : 5
ccjh902029 : 3
ccjh902030 : 3
ccjh902031 : 4
ccjh902032 : 3
ccjh902033 : 1
ccjh902034 : 6
ccjh902035 : 2
ccjh902036 : 5
ccjh902038 : 5
ccjh903002 : 1
ccjh903003 : 3
ccjh903004 : 3
ccjh903005 : 0
ccjh903006 : 4
ccjh903008 : 4
ccjh903009 : 2
ccjh903010 : 5
ccjh903012 : 0
ccjh903013 : 3
ccjh903014 : 3
ccjh903025 : 5
ccjh903026 : 0
ccjh903027 : 5
ccjh903028 : 3
ccjh903029 : 3
ccjh903030 : 5
ccjh903031 : 2
ccjh903032 : 3
ccjh903033 : 4
ccjh903034 : 2
ccjh903035 : 2
ccjh903036 : 1
ccjh903037 : 5
ccjh903038 : 2
ccjh903039 : 1
ccjh903040 : 2
ccjh904001 : 2
ccjh904002 : 4
ccjh904003 : 0
ccjh904004 : 3
ccjh904005 : 6
ccjh904006 : 0
ccjh904007 : 6
ccjh904008 : 3
ccjh904009 : 3
ccjh904010 : 4
ccjh904011 : 1
ccjh904012 : 1
ccjh904013 : 4
ccjh904014 : 3
ccjh904025 : 6
ccjh904027 : 2
ccjh904028 : 2
ccjh904029 : 4
ccjh904030 : 2
ccjh904031 : 0
ccjh904032 : 2
ccjh904034 : 2
ccjh904035 : 3
ccjh904036 : 1
ccjh904037 : 0
ccjh904038 : 1
ccjh904039 : 0
ccjh905001 : 8
ccjh905002 : 5
ccjh905003 : 4
ccjh905004 : 2
ccjh905005 : 7
ccjh905006 : 3
ccjh905007 : 3
ccjh905008 : 3
ccjh905009 : 2
ccjh905010 : 10
ccjh905011 : 7
ccjh905012 : 7
ccjh905013 : 8
ccjh905025 : 1
ccjh905027 : 3
ccjh905028 : 0
ccjh905029 : 3
ccjh905030 : 6
ccjh905031 : 0
ccjh905033 : 2
ccjh905034 : 3
ccjh905035 : 5
ccjh905036 : 4
ccjh905037 : 4
ccjh907001 : 4
ccjh907002 : 2
ccjh907003 : 0
ccjh907004 : 5
ccjh907005 : 3
ccjh907006 : 2
